mse,mae,rmse,precision,recall,novelty
1.5642483234405518,1.0332298278808594,1.2506991624832153,0.21428571428571427,0.25,0.3296416103839874
2.07321834564209,1.3437438011169434,1.4398674964904785,0.0,0.0,0.71556556224823
1.4081385135650635,0.9414259791374207,1.1866501569747925,0.375,0.29166666666666663,0.5343872904777527
1.6559522151947021,1.1602920293807983,1.2868380546569824,0.26666666666666666,0.375,0.4515567123889923
1.8176600933074951,1.184175968170166,1.3482062816619873,0.08333333333333333,0.125,0.564536988735199
3.395433187484741,1.7688331604003906,1.8426700830459595,0.0,0.0,1.234845221042633
2.638357162475586,1.3838199377059937,1.6243020296096802,0.16666666666666666,0.3333333333333333,0.5563885867595673
1.732236385345459,1.1262402534484863,1.3161444664001465,0.26666666666666666,0.375,0.43751123547554016
1.8705165386199951,1.2377365827560425,1.3676682710647583,0.2,0.25,0.6997826397418976
2.621180534362793,1.3831300735473633,1.6190060377120972,0.16666666666666666,0.3333333333333333,0.6523206830024719
2.85976243019104,1.5452251434326172,1.6910831928253174,0.0,0.0,0.07590857148170471
2.7159481048583984,1.432823657989502,1.6480133533477783,0.07142857142857142,0.25,0.5818821787834167
1.079817771911621,0.916447639465332,1.0391428470611572,0.16666666666666666,0.2222222222222222,0.5091379284858704
1.469090223312378,1.0910835266113281,1.2120603322982788,0.39999999999999997,0.3888888888888889,0.9651438593864441
2.8933258056640625,1.533058762550354,1.7009779214859009,0.07142857142857142,0.3333333333333333,0.2023947834968567
3.353975772857666,1.658716082572937,1.8313863277435303,0.0,0.0,0.6337703466415405
1.492935299873352,1.0351414680480957,1.2218573093414307,0.3333333333333333,0.375,0.24861553311347961
2.6988065242767334,1.5091303586959839,1.642804503440857,0.1,0.125,0.34438034892082214
2.824120044708252,1.4559603929519653,1.6805118322372437,0.08333333333333333,0.2,0.3729553520679474
1.80289888381958,1.2727349996566772,1.3427207469940186,0.0,0.0,1.2727350294589996
2.1779541969299316,1.1371543407440186,1.4757893085479736,0.3666666666666667,0.41666666666666663,0.20652374625205994
1.6044809818267822,1.0747168064117432,1.2666810750961304,0.21428571428571427,0.2,0.4127368628978729
1.459289789199829,1.0859618186950684,1.2080106735229492,0.0,0.0,0.5859375
3.519296407699585,1.716444969177246,1.8759788274765015,0.0,0.0,1.1658777296543121
1.2308202981948853,0.9652252197265625,1.1094233989715576,0.25,0.25,0.3579365313053131
2.970747232437134,1.537546157836914,1.723585605621338,0.07142857142857142,0.2,0.4151904284954071
1.2640752792358398,1.0259363651275635,1.1243109703063965,0.08333333333333333,0.16666666666666666,0.6401169002056122
1.3051326274871826,1.051743984222412,1.1424239873886108,0.07142857142857142,0.3333333333333333,0.8435513973236084
1.1592285633087158,0.9698017239570618,1.0766748189926147,0.125,0.1111111111111111,0.6178497970104218
0.955357551574707,0.8851394653320312,0.9774239659309387,0.125,0.3333333333333333,0.36856457591056824
1.321791410446167,0.9917065501213074,1.1496918201446533,0.2,0.2222222222222222,0.6151966154575348
2.840789318084717,1.5920779705047607,1.6854641437530518,0.0,0.0,0.9762563109397888
1.153364658355713,0.9148521423339844,1.0739481449127197,0.25,0.375,0.8117603957653046
2.4901225566864014,1.384543776512146,1.578012228012085,0.1,0.125,0.469125360250473
1.8237805366516113,1.2453234195709229,1.350474238395691,0.1,0.25,1.2453234195709229
1.7013649940490723,1.1359503269195557,1.3043638467788696,0.16666666666666666,0.2222222222222222,0.4894633889198303
3.663212299346924,1.7443407773971558,1.9139519929885864,0.07142857142857142,0.3333333333333333,0.21616584062576294
2.237020969390869,1.3288052082061768,1.4956674575805664,0.26666666666666666,0.5,0.5557741522789001
2.929868221282959,1.4659050703048706,1.7116857767105103,0.25,0.2,0.5141543745994568
