ndcg,diversity
0.0,0.26786781944262206
0.0,0.26232575272717173
0.0,0.2564425294458603
0.0,0.2683508198189902
0.0,0.2238196328785481
0.0,0.26683831437560734
0.0,0.25831090715914273
0.0,0.2740749383787948
0.0,0.2580625627043057
0.0,0.18110335579427517
0.0,0.28876500281198814
0.0,0.26994416428579326
0.0,0.2660774028653604
0.0,0.258367809340159
0.0,0.25816356639724436
0.0,0.2642316772022987
0.0,0.2597310474645522
0.0,0.2458615333767631
0.0,0.25504111168752785
0.0,0.24608402403754692
0.0,0.2763446287647514
0.0,0.2652806771375805
0.0,0.26068857893461417
0.0,0.2552330062420617
0.0,0.26281949355020184
0.0,0.2662911309793746
0.0,0.2231511443746399
0.0,0.252586448850029
0.0,0.25524726628545835
0.0,0.2676479533957482
0.0,0.25194360792958825
0.0,0.26151702738514004
0.0,0.269532481111182
0.0,0.2609619900620227
0.0,0.2668863326398231
0.0,0.2563225283928001
0.0,0.25545005738236815
0.0,0.23009942037975362
0.0,0.2599197718929276
0.0,0.2840251523732965
