mse,mae,rmse,precision,recall,novelty
0.69190913438797,0.5477015972137451,0.831810712814331,0.71875,0.2,0.10860157757997513
0.6272226572036743,0.504719614982605,0.791973888874054,0.7890625,0.2,0.022664092481136322
0.5121949315071106,0.4738962650299072,0.7156779766082764,0.828125,0.2,0.03202342242002487
0.2691275179386139,0.41139620542526245,0.5187750458717346,0.828125,0.25,0.09452339261770248
0.4687862992286682,0.45219188928604126,0.6846797466278076,0.84375,0.2,0.06327342614531517
0.3715699315071106,0.459577739238739,0.6095653772354126,0.8046875,0.25,0.032023411244153976
0.6020520925521851,0.520344614982605,0.7759201526641846,0.7890625,0.2,0.03828907385468483
0.4405759274959564,0.46000438928604126,0.6637589335441589,0.84375,0.2,0.05546092987060547
0.45316123962402344,0.45219188928604126,0.6731724739074707,0.84375,0.25,0.06327341124415398
0.3490123152732849,0.4743494987487793,0.5907726883888245,0.7265625,0.3333333333333333,0.030476581305265427
0.302990585565567,0.434407114982605,0.5504458546638489,0.7890625,0.25,0.04764840751886368
0.3216552138328552,0.4469923675060272,0.5671465992927551,0.796875,0.3333333333333333,0.03983590379357338
0.5582166910171509,0.5090658068656921,0.7471389770507812,0.7578125,0.2,0.046101562678813934
0.3529052734375,0.4469924569129944,0.5940583348274231,0.796875,0.25,0.03983592614531517
0.3038438558578491,0.4087831974029541,0.5512203574180603,0.875,0.25,0.12577345222234726
0.480944961309433,0.4691234230995178,0.693501889705658,0.8203125,0.25,0.032023414969444275
0.4687862694263458,0.45219185948371887,0.6846796870231628,0.84375,0.2,0.06327341869473457
0.6419943571090698,0.5446619987487793,0.8012455105781555,0.7265625,0.2,0.10078906640410423
0.4405759572982788,0.4504587650299072,0.6637589335441589,0.828125,0.2,0.05546092242002487
0.34682589769363403,0.436140239238739,0.5889192819595337,0.8046875,0.25,0.05546091869473457
0.2699808180332184,0.38099950551986694,0.5195967555046082,0.90625,0.25,0.17264841869473457
0.5030759572982788,0.46477723121643066,0.7092784643173218,0.8515625,0.2,0.055460937321186066
0.7140400409698486,0.5481283664703369,0.845008909702301,0.7578125,0.2,0.08516407385468483
0.5308595895767212,0.48648160696029663,0.7286011576652527,0.8359375,0.2,0.024210918694734573
0.6580460071563721,0.5246907472610474,0.8112003207206726,0.7578125,0.2,0.06172657757997513
0.5955460667610168,0.5199179649353027,0.771716296672821,0.75,0.2,0.06172657385468483
0.6619389057159424,0.5021065473556519,0.8135963678359985,0.8359375,0.25,0.008585918694734573
0.5156612396240234,0.4569647014141083,0.7180955410003662,0.8515625,0.25,0.06327341124415398
0.48745089769363403,0.46000435948371887,0.6981768012046814,0.84375,0.2,0.05546092987060547
0.6554329991340637,0.5112255811691284,0.8095881342887878,0.8125,0.2,0.014851566404104233
0.6020520329475403,0.5155717730522156,0.7759201526641846,0.78125,0.2,0.03828907385468483
0.3780759572982788,0.44091305136680603,0.61487877368927,0.8125,0.2,0.05546090379357338
0.496569961309433,0.4691234230995178,0.7046772241592407,0.8203125,0.2,0.03202340751886368
0.6398080587387085,0.5112255811691284,0.7998799681663513,0.8125,0.2,0.014851611107587814
0.42191123962402344,0.44741904735565186,0.6495469212532043,0.8359375,0.2,0.06327341869473457
0.5273933410644531,0.47954899072647095,0.7262185215950012,0.7734375,0.25,0.00703907385468483
0.5616830587387085,0.4921342730522156,0.7494550943374634,0.78125,0.25,0.014851581305265427
0.5677623748779297,0.5077592730522156,0.7535000443458557,0.78125,0.2,0.030476581305265427
0.43753623962402344,0.45696473121643066,0.6614652276039124,0.8515625,0.2,0.06327342614531517
0.4088992476463318,0.4704298973083496,0.639452338218689,0.796875,0.25,0.016398407518863678
0.3594112694263458,0.4331005811691284,0.5995091795921326,0.8125,0.2,0.06327342614531517
0.45881396532058716,0.483015239238739,0.677358090877533,0.8046875,0.25,0.008585896342992783
0.4935302734375,0.47085654735565186,0.702517032623291,0.8359375,0.25,0.039835911244153976
0.2504628598690033,0.40835654735565186,0.5004626512527466,0.8359375,0.3333333333333333,0.10233591869473457
0.6176769733428955,0.520344614982605,0.7859242558479309,0.7890625,0.2,0.03828905150294304
0.37503623962402344,0.43787339329719543,0.6124020218849182,0.8203125,0.2,0.06327342614531517
0.6454607248306274,0.5325032472610474,0.8034056425094604,0.7578125,0.2,0.06953907757997513
0.4249509274959564,0.45523154735565186,0.6518826484680176,0.8359375,0.2,0.05546090006828308
0.6610857248306274,0.5325033068656921,0.8130717277526855,0.7578125,0.2,0.06953908503055573
0.29691120982170105,0.428327739238739,0.5448956489562988,0.8046875,0.25,0.06327339261770248
0.3472525477409363,0.4352603554725647,0.5892813801765442,0.8671875,0.25,0.09452341496944427
0.7114269733428955,0.529890239238739,0.8434613347053528,0.8046875,0.2,0.038289088755846024
0.3659172058105469,0.4383000135421753,0.6049109101295471,0.859375,0.25,0.08671090379357338
0.6055183410644531,0.5034130811691284,0.7781506180763245,0.8125,0.25,0.007039085030555725
0.4123656153678894,0.4534984230995178,0.6421570777893066,0.8203125,0.2,0.04764842614531517
