mse,mae,rmse,precision,recall,novelty
2.2942028045654297,1.3197906017303467,1.5146626234054565,0.06429316640584246,0.16153846153846155,0.4356478154659271
2.104118824005127,1.264650583267212,1.450558066368103,0.27326607818411097,0.18338983050847457,0.3521169777959585
2.3244428634643555,1.3218872547149658,1.524612307548523,0.2749451754385965,0.22403940886699508,0.45252353325486183
2.24676513671875,1.292893886566162,1.4989213943481445,0.27254660087719296,0.224384236453202,0.2595925107598305
2.1997270584106445,1.2751119136810303,1.4831476211547852,0.3466666666666667,0.1846743295019157,0.4311544597148895
2.365196704864502,1.319178819656372,1.537919521331787,0.22544456793553763,0.22689655172413792,0.32405279390513897
2.108367919921875,1.2746278047561646,1.4520219564437866,0.06696428571428571,0.16634615384615384,0.3455659616738558
1.8810187578201294,1.2119084596633911,1.37150239944458,0.07908555327868852,0.17914438502673796,0.4090421013534069
1.9724246263504028,1.1899796724319458,1.4044302701950073,0.10737704918032787,0.21714285714285717,0.4741654209792614
2.119138240814209,1.2633118629455566,1.4557260274887085,0.2534722222222222,0.19991691591890995,0.46197220496833324
2.3391940593719482,1.306579828262329,1.5294424295425415,0.2118279569892473,0.16965811965811967,0.2580014057457447
2.3006908893585205,1.3143408298492432,1.5168027877807617,0.3354150403330731,0.1973607038123167,0.44362812116742134
2.158163547515869,1.2746875286102295,1.4690688848495483,0.1268481182795699,0.23035714285714287,0.2887852769345045
2.2564682960510254,1.3262829780578613,1.5021545886993408,0.10754154775893907,0.17962962962962964,0.39311401173472404
2.2807493209838867,1.2952611446380615,1.5102150440216064,0.11547868623340322,0.20756302521008405,0.47277209535241127
2.178647041320801,1.293809175491333,1.4760240316390991,0.11621932854991585,0.19941348973607037,0.48838139697909355
2.3238630294799805,1.3418360948562622,1.5244221687316895,0.1605392156862745,0.19201388888888887,0.3589155524969101
2.1555168628692627,1.293562650680542,1.4681679010391235,0.3517184035476718,0.22977871939736344,0.4474466033279896
2.3999223709106445,1.3516145944595337,1.549168348312378,0.15710382513661203,0.173015873015873,0.1642679776996374
2.303799629211426,1.337747573852539,1.5178273916244507,0.35737704918032787,0.1376334776334776,0.5681926887482405
2.230839252471924,1.3164360523223877,1.4935994148254395,0.06030444964871194,0.15240641711229946,0.1859934376552701
2.2540836334228516,1.3166923522949219,1.501360535621643,0.376984126984127,0.16361538461538463,0.01988685131072998
