mse,mae,rmse,precision,recall,novelty
2.984570026397705,1.4620351791381836,1.727590799331665,0.18480660154718762,0.1370385779996764,0.48465428221970797
4.333817958831787,1.7182872295379639,2.081782579421997,0.14853174603174604,0.14745297805642635,0.11605235794559121
3.955718994140625,1.6109334230422974,1.9888988733291626,0.1686070353706013,0.1960081585081585,0.24259064393118024
4.308064937591553,1.7499914169311523,2.075587749481201,0.12311995333271929,0.14906755178560452,0.3398709415923804
2.780000686645508,1.3133649826049805,1.6673333644866943,0.26551864311746565,0.2724923848081743,0.2677082917653024
4.2083282470703125,1.6866497993469238,2.0514209270477295,0.14748834096660185,0.1373326673326673,0.1397062665782869
3.5472474098205566,1.4844778776168823,1.8834137916564941,0.14478780017754225,0.22543544690603518,0.12522000586614013
3.033905506134033,1.4159014225006104,1.7418110370635986,0.2406416751097602,0.21734432234432233,0.15628274530172348
3.313812255859375,1.4206352233886719,1.8203879594802856,0.19582183397972872,0.25213345612217486,0.408408627146855
3.7085347175598145,1.5789830684661865,1.9257556200027466,0.14930353959765724,0.1663863208354734,0.30260407901369035
3.3447184562683105,1.4709365367889404,1.828857183456421,0.16931129040763593,0.22955004035512508,0.44223180040717125
3.607926845550537,1.5444687604904175,1.8994544744491577,0.21626417233560086,0.24715462315462317,0.5658005657605827
4.202768802642822,1.692117691040039,2.050065517425537,0.21495396495396496,0.17809356505008678,0.2516828766092658
4.0800886154174805,1.7148363590240479,2.019922971725464,0.10751969276483615,0.15361471861471862,0.12392015638761222
3.701719284057617,1.5486658811569214,1.9239853620529175,0.1449829931972789,0.16790266798418974,0.21889388281852007
4.300307273864746,1.7241365909576416,2.073718309402466,0.11868843716669804,0.14308728308728308,0.6292081165593117
3.4219353199005127,1.5052415132522583,1.8498473167419434,0.15162074068149095,0.15720238095238098,0.16541666281409562
3.471123456954956,1.4607537984848022,1.8630951642990112,0.18614775526240232,0.23158602150537635,0.1454369742423296
4.249107360839844,1.7022285461425781,2.0613362789154053,0.1605339105339105,0.18103256559985642,0.20361325121484697
3.645516872406006,1.5339096784591675,1.9093236923217773,0.16492094861660078,0.20172248803827753,0.41427661874331534
3.7754857540130615,1.625023603439331,1.9430608749389648,0.16650319621334111,0.16685714285714287,0.1881767176091671
3.803271770477295,1.5540416240692139,1.9501979351043701,0.19704886890685436,0.21044847148993728,0.41051008086651564
3.941216468811035,1.6080173254013062,1.9852497577667236,0.15083272697873715,0.208738733943652,0.3987183152930811
3.2469654083251953,1.4776461124420166,1.8019338846206665,0.19956989247311827,0.18081993336230623,0.502393651753664
3.520749807357788,1.5387628078460693,1.876366138458252,0.14839039621016364,0.2110721486806347,0.1245995513163507
4.067281723022461,1.6306335926055908,2.0167503356933594,0.23834079880552447,0.2982799509336241,0.09565448528155684
3.8784759044647217,1.6027653217315674,1.9693846702575684,0.17348484848484846,0.21165732959850608,0.3820334954652935
3.8050878047943115,1.6131021976470947,1.9506633281707764,0.2595081189563948,0.19942783133320216,0.05838964506983757
4.013604164123535,1.6481189727783203,2.0033981800079346,0.11725599669148057,0.14855514855514854,0.04013555822893977
3.9617748260498047,1.6338934898376465,1.9904208183288574,0.1745920027170027,0.2020454874692163,0.36383535631466657
3.452108144760132,1.5306228399276733,1.8579849004745483,0.1468253968253968,0.2279193458760022,0.3727872499730438
3.9041061401367188,1.5999691486358643,1.9758812189102173,0.19434406173536609,0.2512987012987013,0.5366289434023201
2.895388603210449,1.3301669359207153,1.7015841007232666,0.2945554445554445,0.2493867243867244,0.3176837689243257
3.4757490158081055,1.5048556327819824,1.8643361330032349,0.15829307568438003,0.17783625730994151,0.40943223400972784
3.8431742191314697,1.5577524900436401,1.9604015350341797,0.19950738916256158,0.2449315635345047,0.5042273984290659
3.397719383239746,1.4425930976867676,1.8432904481887817,0.21429424472902733,0.25674884727149394,0.2267191493883729
4.105760097503662,1.6346027851104736,2.0262675285339355,0.1631267078075589,0.15625910746812385,0.49338467756751925
3.7743258476257324,1.5775375366210938,1.9427623748779297,0.13938661486099815,0.15091119691119692,0.3552227425388992
3.115119457244873,1.470220685005188,1.764970064163208,0.13594046431575035,0.15952946835299778,0.6942738872021437
3.959420680999756,1.6066641807556152,1.989829421043396,0.19385281385281386,0.21493506493506492,0.14603979280218482
3.5919408798217773,1.5432255268096924,1.8952417373657227,0.20184990837914377,0.2303510551225935,0.1477837087586522
3.203662395477295,1.4632232189178467,1.7898777723312378,0.17180205415499533,0.19347547974413645,0.1534332986921072
4.037144660949707,1.613223671913147,2.0092647075653076,0.16288498884555505,0.20836601307189545,0.400496497284621
3.6033153533935547,1.535398244857788,1.8982399702072144,0.17595441595441597,0.1908287841191067,0.1953490055166185
3.6964781284332275,1.5193365812301636,1.9226226806640625,0.19888647456476913,0.2589798480727932,0.16632218938320875
4.267163276672363,1.7154958248138428,2.065711259841919,0.15167502088554718,0.17713196389666977,0.1669759440701455
3.3861348628997803,1.5495631694793701,1.8401453495025635,0.2094601476954418,0.21715652768284346,0.432423310354352
3.683260917663574,1.6489160060882568,1.919182300567627,0.1265527950310559,0.14570114942528734,0.1787386741489172
3.82061767578125,1.616220235824585,1.9546400308609009,0.16885093505009352,0.21323676323676324,0.3679346381686628
