mse,mae,rmse,precision,recall
2.132122039794922,1.2484853267669678,1.4601788520812988,0.2109375,0.2
2.1195180416107178,1.2378994226455688,1.455856442451477,0.2109375,0.2
2.3541488647460938,1.2688976526260376,1.5343236923217773,0.2890625,0.2
2.067352294921875,1.2411762475967407,1.4378290176391602,0.203125,0.2
2.366497039794922,1.3074567317962646,1.5383423566818237,0.2109375,0.2
2.3390274047851562,1.3303906917572021,1.5293879508972168,0.1640625,0.2
1.98822021484375,1.1902692317962646,1.4100427627563477,0.25,0.2
2.327686309814453,1.3074567317962646,1.525675654411316,0.203125,0.2
2.1449737548828125,1.249240517616272,1.4645729064941406,0.234375,0.2
2.4232029914855957,1.3142621517181396,1.5566641092300415,0.1875,0.2
2.1515274047851562,1.2099263668060303,1.4668086767196655,0.2734375,0.2
2.4020309448242188,1.3656728267669678,1.5498487949371338,0.140625,0.2
2.051727294921875,1.2139583826065063,1.4323852062225342,0.2265625,0.2
2.14447021484375,1.2603299617767334,1.4644010066986084,0.1953125,0.2
2.1147305965423584,1.2452083826065063,1.4542113542556763,0.1953125,0.2
2.693615198135376,1.4203603267669678,1.641223669052124,0.15625,0.2
2.250568389892578,1.3034244775772095,1.5001894235610962,0.1640625,0.2
2.3412973880767822,1.2913281917572021,1.5301299095153809,0.234375,0.2
2.4857027530670166,1.3611371517181396,1.5766112804412842,0.1640625,0.2
2.017200231552124,1.2182422876358032,1.4202818870544434,0.234375,0.2
1.9201734066009521,1.2018619775772095,1.385703206062317,0.1640625,0.2
2.1762237548828125,1.237647533416748,1.4752029180526733,0.25,0.2
2.281818389892578,1.319049596786499,1.5105688571929932,0.15625,0.2
2.3707809448242188,1.3384549617767334,1.5397340059280396,0.1640625,0.2
2.0333287715911865,1.1990885734558105,1.4259485006332397,0.2578125,0.2
2.2679598331451416,1.2759549617767334,1.5059747695922852,0.234375,0.2
2.3458287715911865,1.354835033416748,1.5316098928451538,0.140625,0.2
2.250824451446533,1.2557942867279053,1.5002747774124146,0.2421875,0.2
2.6107029914855957,1.3928906917572021,1.615767002105713,0.1875,0.2
2.3919527530670166,1.2875478267669678,1.5465940237045288,0.25,0.2
2.320885181427002,1.275451421737671,1.5234451293945312,0.25,0.2
2.209239959716797,1.2525174617767334,1.4863512516021729,0.25,0.2
2.0290448665618896,1.2336153984069824,1.4244455099105835,0.203125,0.2
2.188068389892578,1.257053017616272,1.4792120456695557,0.2265625,0.2
2.431267023086548,1.3147656917572021,1.559252142906189,0.21875,0.2
2.1999130249023438,1.2764582633972168,1.4832103252410889,0.203125,0.2
2.524010181427002,1.3959157466888428,1.5887134075164795,0.140625,0.2
2.5260238647460938,1.3888585567474365,1.5893471240997314,0.140625,0.2
2.1336326599121094,1.241428017616272,1.4606959819793701,0.2265625,0.2
1.8246569633483887,1.1718707084655762,1.3507987260818481,0.2109375,0.2
2.1709327697753906,1.2600781917572021,1.473408579826355,0.203125,0.2
1.9116055965423584,1.1786763668060303,1.3826082944869995,0.21875,0.2
2.516449451446533,1.368698000907898,1.586332082748413,0.15625,0.2
2.321892261505127,1.2991406917572021,1.5237756967544556,0.2265625,0.2
2.265186309814453,1.287799596786499,1.5050536394119263,0.203125,0.2
2.2624130249023438,1.3077083826065063,1.5041320323944092,0.1875,0.2
2.3853988647460938,1.3303906917572021,1.544473648071289,0.1796875,0.2
2.399010181427002,1.3142621517181396,1.5488739013671875,0.2109375,0.2
2.4118616580963135,1.3225781917572021,1.553017020225525,0.2109375,0.2
1.864227294921875,1.159019112586975,1.36536705493927,0.234375,0.2
2.225872039794922,1.2797353267669678,1.4919357299804688,0.1953125,0.2
2.1094398498535156,1.2293317317962646,1.4523910284042358,0.2265625,0.2
2.0300519466400146,1.2069011926651,1.4247989654541016,0.234375,0.2
2.364227294921875,1.3349263668060303,1.5376043319702148,0.15625,0.2
2.554253101348877,1.337951421737671,1.5982030630111694,0.25,0.2
2.380859136581421,1.3203082084655762,1.5430033206939697,0.2109375,0.2
2.6517834663391113,1.4112892150878906,1.6284297704696655,0.1484375,0.2
2.361206293106079,1.322326421737671,1.5366218090057373,0.1875,0.2
2.2944226264953613,1.302417516708374,1.514735221862793,0.1796875,0.2
2.1668965816497803,1.2963671684265137,1.4720382690429688,0.15625,0.2
2.4909937381744385,1.3618923425674438,1.578288197517395,0.1796875,0.2
2.506115198135376,1.3654210567474365,1.5830714702606201,0.1640625,0.2
2.356419086456299,1.2948567867279053,1.5350632667541504,0.21875,0.2
2.0545005798339844,1.2212674617767334,1.4333529472351074,0.21875,0.2
1.8564103841781616,1.1915278434753418,1.362501621246338,0.1953125,0.2
2.1056594848632812,1.237144112586975,1.4510890245437622,0.21875,0.2
2.1842877864837646,1.2764583826065063,1.477933645248413,0.203125,0.2
2.3460848331451416,1.2991406917572021,1.531693458557129,0.203125,0.2
2.446892023086548,1.3495442867279053,1.5642544031143188,0.171875,0.2
2.379101276397705,1.2983853816986084,1.542433500289917,0.2109375,0.2
2.482426166534424,1.3654210567474365,1.5755716562271118,0.171875,0.2
2.3952298164367676,1.333667516708374,1.5476529598236084,0.1875,0.2
2.23822021484375,1.3031728267669678,1.4960682392120361,0.1640625,0.2
2.1215405464172363,1.2202603816986084,1.4565509557724,0.2421875,0.2
2.1752166748046875,1.2295833826065063,1.4748616218566895,0.265625,0.2
2.4776387214660645,1.3495442867279053,1.5740517377853394,0.1875,0.2
2.4027905464172363,1.3296353816986084,1.5500937700271606,0.1875,0.2
1.9158896207809448,1.1713672876358032,1.3841567039489746,0.25,0.2
2.024761199951172,1.2293317317962646,1.4229410886764526,0.1875,0.2
2.320629119873047,1.303928017616272,1.523361086845398,0.2109375,0.2
2.0726430416107178,1.2570528984069824,1.439667820930481,0.171875,0.2
2.1961324214935303,1.303424596786499,1.4819355010986328,0.15625,0.2
2.0398826599121094,1.2525174617767334,1.4282445907592773,0.171875,0.2
2.044166326522827,1.233615517616272,1.4297435283660889,0.21875,0.2
1.974609136581421,1.248737096786499,1.4052079916000366,0.1484375,0.2
2.0749130249023438,1.202365517616272,1.4404557943344116,0.25,0.2
