ndcg,diversity
0.0,0.2540128275850033
0.0,0.2542789068373634
0.0,0.25391734736551363
0.0,0.25975286688973553
0.0,0.25691482771723795
0.0,0.2588190391519525
0.0,
0.0,0.276296556017834
0.0,0.26958980849941494
0.0,0.26123990736343794
0.0,0.2577153192410051
0.0,0.2585666836104168
0.0,
0.0,0.24699189713268643
0.0,0.2611422041743062
0.0,0.26630989796792437
0.0,0.25893380993999726
0.0,0.2571589562264214
0.0,0.25772639293996447
0.0,0.25803438030665604
0.0,0.2699772903479114
0.0,0.25243652742054234
0.0,0.2618837004143554
0.0,0.24996163492355472
0.0,0.2673837984923251
0.0,
0.0,0.256123563094929
0.0,0.2511815966000154
0.0,0.2584939818972146
0.0,0.26462896051267937
0.0,0.2525062940654672
0.0,0.16885751669091775
0.0,0.2456130834105028
0.0,0.253107844179673
0.0,0.2555154403219194
0.0,0.26811857771378045
0.0,0.23742613198604612
0.0,0.2499344695339566
0.0,0.24990478521521153
0.0,
0.0,0.2568842285581977
0.0,0.25946178576864787
0.0,0.25041235755033464
0.0,
0.0,0.25939610581116423
0.0,0.25572967030763427
0.0,0.2575422350449703
0.0,0.242652274836061
0.0,0.26933077179198095
0.0,
0.0,0.25253261232543156
0.0,0.2672134587792746
0.0,
0.0,0.2640680762467982
0.0,0.2516533363536456
0.0,
0.0,0.26293500524738167
0.0,0.24856337831402153
0.0,0.25636249537007516
0.0,0.25904003932835074
0.0,0.26835497489192606
0.0,0.2563886129664925
0.0,0.25618819517450664
0.0,0.23878863628011449
0.0,0.26857581970225386
0.0,0.2556807345112637
0.0,0.258495575160399
0.0,0.24832137050155212
0.0,0.26392644103046514
0.0,0.2570338836548711
0.0,0.2538487218426071
0.0,0.25551761562832165
0.0,
0.0,
0.0,0.2590425998480951
0.0,0.2514737570216429
0.0,0.26345119255045024
0.0,0.24880432741787462
0.0,0.26043069847290246
0.0,0.25967755154709293
0.0,0.2355481273451282
0.0,
0.0,0.250270082268655
0.0,
0.0,0.2548927231367205
0.0,
0.0,0.26900552228118857
0.0,0.25994935437794864
0.0,0.25627815388704456
0.0,0.25709760306643636
0.0,0.2670827940274041
0.0,0.27052464906279816
0.0,0.2733711306897014
0.0,0.25667600126024115
0.0,0.25882878083994076
0.0,0.25970203431827743
0.0,0.2552425257395615
0.0,0.25887001238610063
0.0,0.25525702220201996
0.0,
0.0,0.2510054979932965
0.0,0.2689181453508369
0.0,0.2605361368264507
0.0,0.2523751923736819
0.0,0.26579286972988825
0.0,
0.0,0.2665159582351512
0.0,0.2623807427137115
0.0,0.2641481943310552
0.0,0.2662624966053251
0.0,0.2588355036940957
0.0,0.26123061847840223
0.0,0.25481215793389467
0.0,
0.0,0.24343874853206993
0.0,0.24769651694465566
0.0,0.24978381619499124
0.0,0.241283589893317
0.0,
0.0,0.24819140042781773
0.0,0.23441662097015126
0.0,0.2459364246907968
0.0,0.25659028535445016
0.0,0.261193457010658
0.0,
0.0,0.23446794718336983
0.0,0.25442152913249383
