mse,mae,rmse,precision,recall,novelty
0.6940164566040039,0.5436311364173889,0.8330764770507812,0.71875,0.2,0.1179056167602539
0.6277309656143188,0.4993407130241394,0.7922947406768799,0.7890625,0.2,0.031968116760253906
0.5116856098175049,0.46779048442840576,0.7153220176696777,0.828125,0.2,0.022719383239746094
0.26745522022247314,0.4052904546260834,0.5171607732772827,0.828125,0.25,0.0852193832397461
0.467695415019989,0.44579535722732544,0.6838825345039368,0.84375,0.2,0.053969383239746094
0.3710606098175049,0.4539080858230591,0.6091474294662476,0.8046875,0.25,0.022719383239746094
0.6028510332107544,0.5149657130241394,0.7764348387718201,0.7890625,0.2,0.047593116760253906
0.4396304488182068,0.45360785722732544,0.6630463600158691,0.84375,0.2,0.046156883239746094
0.452070415019989,0.44579535722732544,0.6723617911338806,0.84375,0.25,0.053969383239746094
0.3496659994125366,0.47013360261917114,0.5913256406784058,0.7265625,0.3333333333333333,0.039780616760253906
0.30219051241874695,0.4290282130241394,0.5497185587882996,0.7890625,0.25,0.038344383239746094
0.3210005462169647,0.44146814942359924,0.5665691494941711,0.796875,0.3333333333333333,0.030531883239746094
0.5591610670089722,0.5042684078216553,0.7477707862854004,0.7578125,0.2,0.055405616760253906
0.3522505760192871,0.44146814942359924,0.5935069918632507,0.796875,0.25,0.030531883239746094
0.3015900254249573,0.40180516242980957,0.5491721630096436,0.875,0.25,0.1164693832397461
0.4804355800151825,0.46316298842430115,0.693134605884552,0.8203125,0.25,0.022719383239746094
0.4676953852176666,0.44579535722732544,0.6838825941085815,0.84375,0.2,0.053969383239746094
0.6439564228057861,0.5404461026191711,0.8024689555168152,0.7265625,0.2,0.1100931167602539
0.4396304786205292,0.4443529546260834,0.6630463004112244,0.828125,0.2,0.046156883239746094
0.3458804488182068,0.4304705858230591,0.5881160497665405,0.8046875,0.25,0.046156883239746094
0.2668547034263611,0.3734399676322937,0.5165799260139465,0.90625,0.25,0.1633443832397461
0.5021305084228516,0.45823532342910767,0.7086116075515747,0.8515625,0.2,0.046156883239746094
0.7157113552093506,0.5433309078216553,0.8459972143173218,0.7578125,0.2,0.0944681167602539
0.5304956436157227,0.4802303910255432,0.7283512949943542,0.8359375,0.2,0.014906883239746094
0.6592812538146973,0.5198934078216553,0.8119613528251648,0.7578125,0.2,0.0710306167602539
0.5967811346054077,0.515265941619873,0.772516131401062,0.75,0.2,0.0710306167602539
0.6618657112121582,0.4958553910255432,0.8135513067245483,0.8359375,0.25,0.0007181167602539062
0.5145703554153442,0.45042282342910767,0.7173356413841248,0.8515625,0.25,0.053969383239746094
0.4865054786205292,0.45360785722732544,0.6974994540214539,0.84375,0.2,0.046156883239746094
0.6557958722114563,0.5054105520248413,0.8098121881484985,0.8125,0.2,0.024155616760253906
0.6028510332107544,0.5103382468223572,0.7764347791671753,0.78125,0.2,0.047593116760253906
