mse,mae,rmse,precision,recall,diversity,novelty
1.8344475030899048,1.0949512720108032,1.3544178009033203,0.2890625,0.2,0.08900569541824832,0.04977250099182129
1.5720181465148926,1.0096418857574463,1.2538014650344849,0.328125,0.2,0.21274951637526118,0.05178999900817871
1.9587643146514893,1.1717649698257446,1.399558663368225,0.2421875,0.2,0.07640270959546291,0.004914999008178711
1.7947568893432617,1.0467649698257446,1.339685320854187,0.3515625,0.2,0.058629848653675376,0.08883500099182129
1.4990280866622925,1.0500156879425049,1.2243480682373047,0.2265625,0.2,0.33934939775957806,0.1767899990081787
2.0421345233917236,1.1593906879425049,1.4290326833724976,0.2890625,0.2,-0.012851569686838094,0.05758500099182129
1.614221215248108,1.0714588165283203,1.2705200910568237,0.265625,0.2,0.26893069334540476,0.2471024990081787
1.5329005718231201,1.0408918857574463,1.2381036281585693,0.265625,0.2,0.2928991356280435,0.1455399990081787
1.7256455421447754,1.1092650890350342,1.3136383295059204,0.234375,0.2,0.20812175353149287,0.08303999900817871
1.7185711860656738,1.076075553894043,1.3109430074691772,0.296875,0.2,0.15223513338346362,0.06539750099182129
1.5327905416488647,1.0545225143432617,1.2380592823028564,0.25,0.2,0.32948977201212504,0.3330399990081787
1.4365280866622925,0.988143801689148,1.1985524892807007,0.3046875,0.2,0.31498253436580126,0.1767899990081787
1.578519344329834,1.0252668857574463,1.2563914060592651,0.3125,0.2,0.22579497820766226,0.06741499900817871
1.7536998987197876,1.1099481582641602,1.3242734670639038,0.21875,0.2,0.1824196468385001,0.01852250099182129
1.8265800476074219,1.1235787868499756,1.3515102863311768,0.265625,0.2,0.1325516142005949,0.04397749900817871
1.786316156387329,1.115821361541748,1.3365315198898315,0.2421875,0.2,0.14290263965599204,0.1278975009918213
1.6325788497924805,1.0298287868499756,1.2777241468429565,0.3203125,0.2,0.18412103888384124,0.02835249900817871
1.2392213344573975,0.9275830984115601,1.1132031679153442,0.328125,0.2,0.4116973279170466,0.2471024990081787
1.757578730583191,1.098201870918274,1.3257369995117188,0.2578125,0.2,0.1642317134522584,0.02835249900817871
1.4970887899398804,0.9959562420845032,1.2235558032989502,0.3125,0.2,0.2728171953340369,0.1533524990081787
1.7563225030899048,1.091700553894043,1.325263261795044,0.28125,0.2,0.14362187306189,0.04977250099182129
1.8656975030899048,1.098201870918274,1.3659054040908813,0.296875,0.2,0.06687760100556783,0.04977250099182129
1.5922049283981323,1.0142037868499756,1.2618261575698853,0.3203125,0.2,0.20351960538392522,0.04397749900817871
2.1971282958984375,1.2212624549865723,1.4822713136672974,0.25,0.2,-0.07500945766276446,0.1357100009918213
1.6365675926208496,1.0318231582641602,1.2792840003967285,0.3046875,0.2,0.17136117051067157,0.11227250099182129
1.484086275100708,1.0174543857574463,1.2182308435440063,0.2890625,0.2,0.30040434557191054,0.12210249900817871
1.7307806015014648,1.0948963165283203,1.3155913352966309,0.2734375,0.2,0.1965374267365696,0.2080399990081787
1.9268312454223633,1.1333305835723877,1.3881034851074219,0.28125,0.2,0.06614530351331582,0.05960249900817871
2.004383087158203,1.162013053894043,1.4157624244689941,0.2578125,0.2,0.023774158232837017,0.07321000099182129
