mse,mae
1.1074711084365845,1.4258852005004883
0.1420249342918396,0.6873602867126465
0.12663479149341583,0.843705415725708
0.2036856710910797,1.0140514373779297
0.06471987068653107,0.5972471237182617
1.8505785465240479,2.0490217208862305
0.11772385239601135,0.7784445285797119
0.09758846461772919,0.8330345153808594
4.395706653594971,2.638948678970337
0.10933493077754974,0.8310155868530273
0.3390972316265106,1.3763002157211304
0.25890323519706726,1.2082579135894775
0.15300196409225464,0.9333689212799072
0.21536585688591003,1.13543701171875
0.21339982748031616,1.056973934173584
0.11841100454330444,0.777350902557373
0.11965969204902649,0.7587957382202148
0.021660951897501945,0.38225889205932617
0.15493689477443695,0.8479795455932617
0.18082928657531738,0.954010009765625
0.22142243385314941,1.1824259757995605
0.20594823360443115,1.0368883609771729
0.37895527482032776,1.1820273399353027
0.0633339136838913,0.6481425762176514
0.11833255738019943,0.7348811626434326
0.33688288927078247,1.2365608215332031
0.044317826628685,0.5259380340576172
0.1338234394788742,0.8919458389282227
0.24048474431037903,1.0800094604492188
0.1259324699640274,0.7974594831466675
0.8724312782287598,1.3373782634735107
0.4070184826850891,1.3217525482177734
0.19394159317016602,0.9468340873718262
0.19901172816753387,0.8503015041351318
0.17312577366828918,1.0118250846862793
0.10904403775930405,0.8054037094116211
0.4662134051322937,1.1933767795562744
0.12740322947502136,0.7447030544281006
0.33076226711273193,1.1907668113708496
0.000584666442591697,0.038579463958740234
