mse,mae
0.24797579646110535,0.4979056119918823
2.0042591094970703,0.9958112835884094
1.0021642446517944,0.7479055523872375
2.2584474086761475,1.1229052543640137
0.5000699758529663,0.622905433177948
0.2479756772518158,0.4979054927825928
1.2542591094970703,0.8729054927825928
0.4979754686355591,0.6208109259605408
2.510542631149292,1.125000238418579
1.004259467124939,0.8729056715965271
3.2584471702575684,1.245811104774475
0.24378690123558044,0.4937167167663574
0.5021643042564392,0.6249997615814209
0.7500702738761902,0.7458112239837646
1.0021647214889526,0.7479056119918823
0.4979757070541382,0.6208111643791199
0.24588122963905334,0.4958110451698303
0.4979758858680725,0.6208111047744751
0.7500699758529663,0.7458109259605408
2.508448600769043,1.1229057312011719
0.24169233441352844,0.4916221499443054
0.24797585606575012,0.4979056715965271
2.0063540935516357,0.9979057312011719
0.24588152766227722,0.4958113431930542
0.7521646618843079,0.7479056119918823
2.0063533782958984,0.9979055523872375
0.5000699758529663,0.622905433177948
0.7521645426750183,0.7479056119918823
1.7521640062332153,0.8708109259605408
2.5084481239318848,1.1229057312011719
0.4958813190460205,0.6187166571617126
0.7542589902877808,0.7499999403953552
0.49797534942626953,0.6208109259605408
0.4979754686355591,0.6208109259605408
0.7521643042564392,0.7479053735733032
0.24797579646110535,0.4979056119918823
0.49797576665878296,0.6208111047744751
0.2458813488483429,0.4958111643791199
2.260542392730713,1.125
0.24169263243675232,0.4916224479675293
